Reporting_Date,Customer_ID,Region,Customer_Segment,Age,Tenure_Months,Acquisition_Channel,Plan,Active_Flag,Data_Usage_GB,Voice_Minutes,SMS_Count,Base_Monthly_Fee_GHS,Gross_Revenue_GHS,Promotion_Flag,Discount_GHS,Net_Revenue_GHS,Acquisition_Cost_GHS,Direct_Cost_GHS,Contribution_GHS,Contribution_Margin_Pct,Churn_Flag,Campaign_ID,Competitor_Price_Index,Market_Share_Pct,Target_Revenue_GHS,Revenue_Variance_GHS,Revenue_Variance_Pct
1/31/2025,CUST-000015,Greater Accra,Mass Market,48 ,12 ,Partner,Basic,1,2.34 ,76 ,15 ,35 ,42.65 ,0,0.00 ,42.65 ,0.00 ,9.24 ,33.41 ,78.34 ,0,NONE,99.05 ,31.84 ,41.70 ,0.95 ,2.28 
1/31/2025,CUST-000029,Greater Accra,Mass Market,36 ,43 ,Digital,Data Plus,1,3.28 ,192 ,11 ,70 ,85.47 ,0,0.00 ,85.47 ,0.00 ,14.26 ,71.21 ,83.32 ,0,CMP-001,95.05 ,29.90 ,90.41 ,(4.94),(5.46)
1/31/2025,CUST-000051,Greater Accra,Youth,50 ,35 ,Digital,Data Plus,1,4.84 ,50 ,15 ,70 ,86.95 ,0,0.00 ,86.95 ,0.00 ,14.74 ,72.21 ,83.05 ,0,CMP-005,96.59 ,35.86 ,94.26 ,(7.31),(7.76)
1/31/2025,CUST-000051,Greater Accra,Youth,29 ,31 ,Digital,Premium,1,4.35 ,19 ,15 ,160 ,169.19 ,0,0.00 ,169.19 ,0.00 ,13.02 ,156.17 ,92.30 ,0,CMP-002,97.37 ,29.67 ,166.30 ,2.89 ,1.74 
1/31/2025,CUST-000055,Western,Mass Market,47 ,34 ,Corporate Sales,Data Plus,1,4.33 ,184 ,20 ,70 ,85.80 ,0,0.00 ,85.80 ,0.00 ,15.38 ,70.42 ,82.07 ,0,NONE,104.06 ,25.48 ,88.42 ,(2.62),(2.96)
1/31/2025,CUST-000061,Greater Accra,Professional,43 ,13 ,Digital,Smart,1,1.81 ,12 ,17 ,100 ,106.14 ,0,0.00 ,106.14 ,0.00 ,3.88 ,102.26 ,96.34 ,0,CMP-003,101.23 ,33.64 ,109.28 ,(3.14),(2.87)
1/31/2025,CUST-000064,Bono,Youth,27 ,8 ,Retail Shop,Smart,1,2.23 ,70 ,14 ,100 ,109.81 ,0,0.00 ,109.81 ,0.00 ,10.41 ,99.40 ,90.52 ,0,NONE,96.32 ,20.65 ,117.63 ,(7.82),(6.65)
1/31/2025,CUST-000073,Bono,Professional,60 ,47 ,Digital,Premium,0,5.07 ,61 ,8 ,160 ,170.22 ,0,0.00 ,170.22 ,0.00 ,15.18 ,155.04 ,91.08 ,0,NONE,105.67 ,20.74 ,179.31 ,(9.09),(5.07)
1/31/2025,CUST-000090,Greater Accra,SME,32 ,50 ,Corporate Sales,Smart,1,2.97 ,32 ,17 ,100 ,106.79 ,1,20.37 ,86.42 ,0.00 ,9.10 ,77.32 ,89.47 ,0,NONE,101.25 ,32.10 ,107.19 ,(20.77),(19.38)
1/31/2025,CUST-000098,Central,Mass Market,28 ,46 ,Retail Shop,Premium,1,12.28 ,88 ,21 ,160 ,191.83 ,0,0.00 ,191.83 ,0.00 ,33.32 ,158.51 ,82.63 ,1,CMP-004,108.27 ,27.04 ,184.63 ,7.20 ,3.90 
1/31/2025,CUST-000108,Western,Mass Market,22 ,13 ,Digital,Data Plus,1,4.57 ,39 ,11 ,70 ,82.42 ,1,13.24 ,69.18 ,0.00 ,10.55 ,58.63 ,84.75 ,0,CMP-003,94.48 ,22.70 ,83.41 ,(14.23),(17.06)
1/31/2025,CUST-000110,Greater Accra,SME,41 ,84 ,Digital,Data Plus,1,3.50 ,173 ,13 ,70 ,86.76 ,1,12.53 ,74.23 ,0.00 ,16.12 ,58.11 ,78.28 ,0,NONE,95.06 ,32.91 ,95.25 ,(21.02),(22.07)
1/31/2025,CUST-000114,Greater Accra,Corporate,45 ,29 ,Digital,Premium,1,6.95 ,68 ,15 ,160 ,175.04 ,0,0.00 ,175.04 ,0.00 ,14.93 ,160.11 ,91.47 ,0,NONE,96.06 ,29.29 ,172.69 ,2.35 ,1.36 
